Vocals, Drums, Claps, Zero-Crossing, Centroid, Roll Off, Flux
1,1,0,0.026416,0.018930,0.321445,0.102233
1,1,1,0.059224,0.041685,0.105361,0.096225
1,1,1,0.131269,0.118311,0.277091,0.080455
1,0,0,0.069036,0.055289,0.125655,0.093911
1,1,1,0.010522,0.007486,0.432320,0.122525
1,0,1,0.047284,0.036949,0.076723,0.104945
1,1,1,0.096084,0.083410,0.193623,0.087903
1,1,1,0.017103,0.011824,0.307163,0.101766
1,1,1,0.075441,0.056155,0.185039,0.099615
1,1,0,0.018963,0.015133,0.041947,0.113019
1,1,0,0.070040,0.047930,0.122101,0.098256
1,1,0,0.011236,0.008251,0.192557,0.113353
1,0,1,0.028658,0.022741,0.037056,0.102792
1,0,1,0.026471,0.021243,0.046281,0.092367
1,1,1,0.034144,0.024219,0.047452,0.097269
1,0,1,0.040876,0.032724,0.049810,0.105026
1,0,1,0.017506,0.014417,0.058838,0.123575
1,0,0,0.030413,0.025424,0.041019,0.111789
1,1,1,0.028433,0.025433,0.047002,0.103010
1,1,0,0.049471,0.040541,0.071933,0.099448
1,1,0,0.017401,0.011552,0.285329,0.110643
1,0,1,0.037350,0.031404,0.047946,0.104690
0,1,0,0.021259,0.016579,0.044487,0.108024
1,1,0,0.022125,0.027415,0.047629,0.109995
1,0,1,0.048701,0.037289,0.068175,0.096265
1,0,1,0.062690,0.044347,0.089054,0.097771
1,1,0,0.023642,0.018144,0.025548,0.100081
1,0,0,0.039134,0.029024,0.052596,0.100779
1,0,1,0.093798,0.082226,0.173819,0.105320
1,1,0,0.048327,0.039760,0.079547,0.097768
1,1,1,0.078436,0.079539,0.202044,0.079786
1,0,1,0.077481,0.059876,0.136399,0.100956
1,1,0,0.017945,0.014109,0.059652,0.111464
1,0,0,0.024813,0.020434,0.026889,0.103696
1,1,1,0.046217,0.033207,0.102343,0.105482
1,0,1,0.054751,0.045059,0.095096,0.095221
1,1,0,0.054535,0.039168,0.083366,0.098640
1,1,1,0.049590,0.046717,0.054091,0.097585
1,0,0,0.120532,0.107734,0.225456,0.079091
1,0,0,0.113784,0.106039,0.224641,0.078045
1,0,0,0.092197,0.074938,0.179071,0.105708
1,0,0,0.139276,0.134973,0.285411,0.078796
1,0,0,0.080238,0.078872,0.155638,0.082886
1,0,1,0.053480,0.047550,0.077127,0.100963
1,1,0,0.018688,0.014798,0.421641,0.118192
1,0,1,0.046853,0.043370,0.088713,0.096960
